Modelo da aeronave;Empresa;Peso de decolagem (kg);Código de Referência;Categoria Contraincêndio;Comprimento básico de pista de aeronave (m)*;Velocidade de aproximação (1.3 x Vs) em nós;Envergadura (m);Distância entre Rodas Externas do Trem de Pouso Principal [OMGWS] (m);Base de rodas [wheel base] (m);Distância da cabine do piloto até o trem de pouso principal (m);Comprimento da Fuselagem (m);Comprimento da Aeronave (m);Empenagem [Altura da Cauda] (m)
A318-100;Airbus;68.000;3C;6;1.789;124;34,1;8,9;10,3;15,3;31,5;31,5;12,9
A319-100 (sem sharklets);Airbus;75.500;3C;6;1.799;128;34,1;8,9;11,4;16,5;33,5;33,5;12,2
A319-100 (com sharklets);Airbus;75.500;3C;6;1.799;128;35,8;8,9;11,4;16,5;33,5;33,5;12,2
A319neo;Airbus;75.500;3C;6;1.735;127;35,8;8,9;11;13,7;33,8;33,8;12,1
A320-200;Airbus;73.500;3C;6;2.025;136;34,1;8,9;12,6;17,7;37,6;37,6;12,2
A320-200;Airbus;77.000;4C;6;2.025;136;34,1;8,9;12,6;17,7;37,6;37,6;12,2
A320neo;Airbus;79.000;3C;6;1 775;132;35,8;8,9;12,6;15,3;37,6;37,6;12
A321-200;Airbus;93.500;4C;7;2.533;142;34,1;8,9;16,9;22;44,5;44,5;12,1
A300B4-200;Airbus;165.000;4D;9;2.727;137;44,8;11,1;18,6;25,3;53,2;54,1;16,7
A300-600R;Airbus;170.500;4D;8;2.279;135;44,8;11,1;18,6;25,3;53,2;54,1;16,7
A310-300;Airbus;164.000;4D;8;2.350;139;43,9;11;15,2;21,9;45,9;46,7;16
A330-200;Airbus;233.000;4E;8;2.479;136;60,3;12,6;22,2;28,9;57,3;58,4;18,2
A330-300;Airbus;233.000;4E;8;2.490;137;60,3;12,6;25,4;32;62,6;63,7;17,2
A340-200;Airbus;275.000;4E;8;2.906;136;60,3;12,6;22,2;28,9;58,3;59,4;17
A340-300;Airbus;276.500;4E;9;2.993;139;60,3;12,6;25,4;32;62,6;63,7;17
A340-500;Airbus;380.000;4E;9;3.023;142;63,4;12,6;28;34,5;66;67,9;17,5
A340-600;Airbus;380.000;4E;9;2.864;148;63,4;12,6;33,1;39,8;73,5;75,4;17,9
A380-800;Airbus;560.000;4F;10;2.779;138;79,8;14,3;29,7;36,4;70,4;72,7;24,4
ANTONOV An-2;Antonov;5.500;1B;4;500;62;18,2;3,4;8,3;0,6;12,7;12,4;4,1
An-3;Antonov;5.800;1B;4;390;65;18,2;3,5;8,3;0,6;14;13,9;4,9
An-28;Antonov;6.500;1B;4;585;89;22,1;3,4;4,4;3,1;12,7;13,1;4,9
An-38-100;Antonov;9.500;2B;4;965;108;22,1;3,4;6,2;4,9;15,3;15,7;5,5
An-38-200;Antonov;9.930;2B;4;1.125;119;22,1;3,4;6,2;4,9;15,3;15,7;5,5
An-24;Antonov;21.000;3C;5;1.350;119;29,2;7,9;7,9;7,6;23,8;23,8;8,6
An-24PB;Antonov;22.500;3C;5;1.600;119;29,2;7,9;7,9;7,6;23,8;23,8;8,6
An-30;Antonov;22.100;3C;6;1.550;113;29,2;7,9;7,4;7,6;24,3;24,3;8,6
