operation_id,visit_id,operation_type,aircraft_category,start_time,end_time,pax,stand_id,stand_type,walking_distance,is_contact
V_M00000_M00001_TURN,V_M00000_M00001,turnaround,C,2026-03-06 00:35:00,2026-03-06 01:40:00,320,107,contato,120.0,1
V_M00003_M00018_TURN,V_M00003_M00018,turnaround,C,2026-03-06 05:00:00,2026-03-06 06:10:00,348,107,contato,120.0,1
V_M00002_M00015_TURN,V_M00002_M00015,turnaround,C,2026-03-06 05:00:00,2026-03-06 06:00:00,348,108,contato,125.0,1
V_M00004_M00017_TURN,V_M00004_M00017,turnaround,C,2026-03-06 05:05:00,2026-03-06 06:05:00,272,110,contato,135.0,1
V_M00005_M00019_TURN,V_M00005_M00019,turnaround,C,2026-03-06 05:05:00,2026-03-06 06:10:00,272,111,contato,140.0,1
V_M00008_M00020_TURN,V_M00008_M00020,turnaround,C,2026-03-06 05:10:00,2026-03-06 06:15:00,272,109,contato,130.0,1
V_M00007_M00049_TURN,V_M00007_M00049,turnaround,C,2026-03-06 05:10:00,2026-03-06 08:00:00,348,119,contato,245.0,1
V_M00009_M00050_TURN,V_M00009_M00050,turnaround,C,2026-03-06 05:15:00,2026-03-06 08:00:00,348,116,contato,230.0,1
V_M00010_M00052_TURN,V_M00010_M00052,turnaround,C,2026-03-06 05:20:00,2026-03-06 08:05:00,348,112,contato,145.0,1
V_M00011_M00057_TURN,V_M00011_M00057,turnaround,C,2026-03-06 05:25:00,2026-03-06 08:10:00,348,118,contato,240.0,1
V_M00012_M00063_TURN,V_M00012_M00063,turnaround,C,2026-03-06 05:30:00,2026-03-06 08:25:00,348,114,contato,155.0,1
V_M00022_M00072_TURN,V_M00022_M00072,turnaround,C,2026-03-06 06:25:00,2026-03-06 08:55:00,348,113,contato,150.0,1
V_M00025_M00060_TURN,V_M00025_M00060,turnaround,C,2026-03-06 06:45:00,2026-03-06 08:20:00,140,135,contato,325.0,1
V_M00026_M00064_TURN,V_M00026_M00064,turnaround,C,2026-03-06 06:50:00,2026-03-06 08:30:00,140,133,contato,315.0,1
V_M00028_M00053_TURN,V_M00028_M00053,turnaround,C,2026-03-06 06:55:00,2026-03-06 08:05:00,272,122,contato,260.0,1
V_M00027_M00046_TURN,V_M00027_M00046,turnaround,C,2026-03-06 06:55:00,2026-03-06 07:50:00,272,132,contato,310.0,1
V_M00029_M00056_TURN,V_M00029_M00056,turnaround,C,2026-03-06 07:00:00,2026-03-06 08:10:00,272,121,contato,255.0,1
V_M00030_M00059_TURN,V_M00030_M00059,turnaround,C,2026-03-06 07:00:00,2026-03-06 08:15:00,272,131,contato,305.0,1
V_M00032_M00066_TURN,V_M00032_M00066,turnaround,C,2026-03-06 07:05:00,2026-03-06 08:35:00,140,134,contato,320.0,1
V_M00034_M00048_TURN,V_M00034_M00048,turnaround,C,2026-03-06 07:10:00,2026-03-06 07:55:00,440,107,contato,120.0,1
V_M00033_M00047_TURN,V_M00033_M00047,turnaround,C,2026-03-06 07:10:00,2026-03-06 07:55:00,372,109,contato,130.0,1
