Posicao,Tipo,Patio,Aeronave
107,Contato,1,C
108,Contato,1,C
109,Contato,1,C
110,Contato,1,C
111,Contato,1,C
112,Contato,1,C
113,Contato,1,C
114,Contato,1,C
115,Contato,1,C
116,Contato,2,C
117,Contato,2,DE
118,Contato,2,C
119,Contato,2,C
120,Contato,2,DE
121,Contato,2,C
122,Contato,2,C
123,Contato,2,DE
124,Contato,2,C
125,Contato,2,C
126,Contato,2,DE
127,Contato,2,C
128,Contato,2,C
129,Contato,2,C
130,Contato,2,C
131,Contato,2,C
132,Contato,2,C
133,Contato,2,C
134,Contato,2,C
135,Contato,2,C
136,Contato,2,C
206,RCmoto,1,C
207,RCmoto,1,C
208,RCmoto,1,C
209,RCmoto,1,C
210,RCmoto,1,C
211,RCmoto,1,C
212,RCmoto,1,C
213,RCmoto,1,C
214,RCmoto,1,C
215,RCmoto,2,C
216,RCmoto,2,C
217,RCmoto,2,C
218,RCmoto,2,C
219,RCmoto,2,C
220,RCmoto,2,C
221,RCmoto,2,C
222,RCmoto,2,C
223,RCmoto,2,C
224,CstacionamCnto,2,C
225,CstacionamCnto,2,C
226,CstacionamCnto,2,C
227,CstacionamCnto,2,C
228,CstacionamCnto,2,C
229,CstacionamCnto,2,C
230,RCmoto,2,C
231,RCmoto,2,C
232,RCmoto,2,C
