Chegada Partida,Natureza,Data,Empresa,Voo,Aeronave,Horário (Hora Local),Origem Destino,Assentos,Tipo de Serviço,Dia da Semana
Chegada,INT,06/03/2026,Copa,765,73H,00:35,PTY,160,Voo Regular,Sexta
Partida,INT,06/03/2026,Copa,734,73H,01:40,PTY,160,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4290,32N,05:00,MCZ,174,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4439,32N,05:00,BEL,174,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4257,295,05:05,CGB,136,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4409,295,05:05,PMW,136,Voo Regular,Sexta
Partida,DOM,06/03/2026,Latam,3561,320,05:05,GRU,176,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,2879,295,05:10,IMP,136,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4088,32N,05:10,MAB,174,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,2761,32N,05:15,FOR,174,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4605,32N,05:20,REC,174,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4414,32N,05:25,SLZ,174,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,2817,32N,05:30,AJU,174,Voo Regular,Sexta
Partida,DOM,06/03/2026,Latam,3047,320,05:35,CGH,176,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,2801,32N,06:00,REC,174,Voo Regular,Sexta
Partida,DOM,06/03/2026,Gol,2089,73H,06:00,GIG,186,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,4188,295,06:05,VCP,136,Voo Regular,Sexta
Partida,DOM,06/03/2026,Latam,3725,320,06:05,BSB,176,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,2474,32N,06:10,BPS,174,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,4039,295,06:10,SDU,136,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,2728,295,06:15,POA,136,Voo Regular,Sexta
Partida,DOM,06/03/2026,Gol,1357,73H,06:20,GRU,186,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,2696,32N,06:25,PVH,174,Voo Regular,Sexta
Partida,DOM,06/03/2026,Latam,3037,320,06:25,CGH,176,Voo Regular,Sexta
Partida,DOM,06/03/2026,Gol,1623,73H,06:30,BSB,186,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4029,AT7,06:45,IPN,70,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4377,AT7,06:50,UDI,70,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,2604,295,06:55,BSB,136,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4060,295,06:55,CWB,136,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,2957,295,07:00,GYN,136,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4553,295,07:00,SSA,136,Voo Regular,Sexta
Partida,DOM,06/03/2026,Gol,1311,73H,07:00,CGH,186,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4421,AT7,07:05,MOC,70,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4413,295,07:10,VIX,136,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4522,295,07:10,GRU,136,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Gol,2006,73H,07:10,GIG,186,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Latam,3453,321,07:10,POA,220,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,2936,295,07:15,SDU,136,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4505,295,07:15,GIG,136,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,2967,295,07:20,FLN,136,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4030,32N,07:20,CGH,174,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Latam,3052,320,07:20,CGH,176,Voo Regular,Sexta
Partida,DOM,06/03/2026,Latam,4712,321,07:20,GRU,220,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,2909,32N,07:25,POA,174,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4043,295,07:30,VCP,136,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Gol,1300,73H,07:45,CGH,186,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,2814,295,07:50,GRU,136,Voo Regular,Sexta
Partida,DOM,06/03/2026,Gol,1313,73H,07:55,CGH,186,Voo Regular,Sexta
Partida,DOM,06/03/2026,Latam,3454,321,07:55,POA,220,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,2423,32N,08:00,NAT,174,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,4066,32N,08:00,MAO,174,Voo Regular,Sexta
Partida,DOM,06/03/2026,Latam,3053,320,08:00,CGH,176,Voo Regular,Sexta
Chegada,INT,06/03/2026,Azul,8731,763,08:05,MCO,267,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,2738,32N,08:05,SSA,174,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,2857,295,08:05,CWB,136,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4051,E95,08:10,SDU,118,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,2759,295,08:10,VIX,136,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,5089,32N,08:10,REC,174,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,2636,E95,08:15,CGH,118,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,2948,295,08:15,SDU,136,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,2875,AT7,08:20,GVR,70,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,4223,295,08:20,GYN,136,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,2647,32N,08:25,JPA,174,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,4708,295,08:25,BSB,136,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,5033,AT7,08:30,BRA,70,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Gol,2042,73H,08:35,GIG,186,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,4136,AT7,08:35,SSA,70,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,4931,295,08:35,GIG,136,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,2794,295,08:40,FLN,136,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Latam,3036,320,08:45,CGH,176,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,4114,295,08:45,VDC,136,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,4244,AT7,08:45,UDI,70,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,4005,32N,08:55,AJU,174,Voo Regular,Sexta
Partida,DOM,06/03/2026,Gol,1317,73H,08:55,CGH,186,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,4729,32N,09:00,BEL,174,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,9578,32N,09:00,SLZ,174,Voo Extra,Sexta
Chegada,DOM,06/03/2026,Azul,2658,295,09:05,VCP,136,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul Conecta,5252,208,09:05,VAG,9,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul Conecta,5130,208,09:10,AAX,9,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,2925,295,09:15,CGB,136,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,6122,AT7,09:15,UBA,70,Voo Regular,Sexta
Partida,DOM,06/03/2026,Gol,2008,73H,09:15,GIG,186,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,2623,295,09:20,REC,136,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,2475,32N,09:25,BPS,174,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,6041,E95,09:25,CGH,118,Voo Regular,Sexta
Partida,DOM,06/03/2026,Latam,3039,320,09:25,CGH,176,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Latam,3552,321,09:30,GRU,220,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Gol,1304,73H,09:35,CGH,186,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,4328,295,09:45,VCP,136,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Latam,3720,320,09:50,BSB,176,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,4800,32N,09:55,BEL,174,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Gol,1700,73H,10:00,BSB,186,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,2892,32N,10:05,BPS,174,Voo Regular,Sexta
Partida,DOM,06/03/2026,Latam,3553,321,10:15,GRU,220,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Gol,1320,73H,10:30,GRU,186,Voo Regular,Sexta
Partida,DOM,06/03/2026,Gol,1329,73H,10:30,CGH,186,Voo Regular,Sexta
Partida,DOM,06/03/2026,Latam,3721,320,10:35,BSB,176,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,2758,AT7,10:40,GVR,70,Voo Regular,Sexta
Partida,DOM,06/03/2026,Gol,1834,73H,10:40,SSA,186,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,2672,295,10:55,VIX,136,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4118,295,11:05,SDU,136,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,6427,E95,11:05,CGH,118,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4570,295,11:10,GRU,136,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,4135,AT7,11:15,IPN,70,Voo Regular,Sexta
Partida,DOM,06/03/2026,Gol,1323,73H,11:15,GRU,186,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,6400,E95,11:20,CGH,118,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4932,295,11:25,GIG,136,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,2729,295,11:30,POA,136,Voo Regular,Sexta
Partida,DOM,06/03/2026,Gol,1954,73H,11:30,CKS,186,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,2802,32N,11:40,REC,174,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Gol,1334,73H,11:40,CGH,186,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,4371,295,11:40,VIX,136,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,5068,295,11:45,BSB,136,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,6408,295,11:50,CGH,136,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4542,295,11:55,CWB,136,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,2905,295,11:55,SDU,136,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4115,295,12:00,VDC,136,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,4236,295,12:00,GRU,136,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4016,295,12:05,GYN,136,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4814,AT7,12:05,UDI,70,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul Conecta,5253,208,12:10,VAG,9,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,4693,32N,12:10,SSA,174,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,6437,295,12:15,CGH,136,Voo Regular,Sexta
Partida,DOM,06/03/2026,Gol,2050,73H,12:20,BPS,186,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul,6123,AT7,12:25,UBA,70,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Latam,3050,320,12:25,CGH,176,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Latam,3344,320,12:25,GRU,176,Voo Regular,Sexta
Chegada,DOM,06/03/2026,Azul Conecta,5131,208,12:40,AAX,9,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,2780,295,12:40,BSB,136,Voo Regular,Sexta
Partida,DOM,06/03/2026,Azul,4179,AT7,12:45,UDI,70,Voo Regular,Sexta
